"lon","lat","mean_elev","sd_elev"
-112.5,35.4929580688477,1804.35501056651,167.267340451665
-110,35.4929580688477,1828.42158239609,138.401690868919
-107.5,35.4929580688477,2085.54890572096,219.374681373639
-105,35.4929580688477,1894.77322395514,279.360495163581
-102.5,35.4929580688477,1161.4535304769,79.8697026678423
-100,35.4929580688477,684.271787350531,79.9493573224921
-97.5,35.4929580688477,345.730078700948,35.165533393567
-95,35.4929580688477,215.944107500472,69.7705124113006
-92.5,35.4929580688477,241.590390677783,126.789572156206
-90,35.4929580688477,79.0255770516732,16.8484017951603
-87.5,35.4929580688477,230.152258907835,46.9845884315305
-85,35.4929580688477,375.102560212256,147.634435212551
-82.5,35.4929580688477,732.243933171409,303.122039641873
-80,35.4929580688477,176.053741590989,49.3337939483016
-77.5,35.4929580688477,20.2172045883167,12.2300286831941
-120,36.7605628967285,135.25449319866,155.11593767172
-117.5,36.7605628967285,1271.09020804939,588.21229767002
-115,36.7605628967285,1108.89823168172,403.822704347166
-112.5,36.7605628967285,1795.21661066783,375.598708125894
-110,36.7605628967285,1729.19540762008,255.924289184474
-107.5,36.7605628967285,2059.91990286331,152.876493810449
-105,36.7605628967285,2499.63204896948,472.238630237555
-102.5,36.7605628967285,1259.50240658828,98.2359364939727
-100,36.7605628967285,690.410023423982,76.4325239453189
-97.5,36.7605628967285,337.2827221442,30.4408936924844
-95,36.7605628967285,259.697952962708,36.0107592624694
-92.5,36.7605628967285,322.27734919542,79.9776038679617
-90,36.7605628967285,106.626523866396,29.275616493617
-87.5,36.7605628967285,164.861316973288,27.3033113372006
-85,36.7605628967285,321.648731046091,85.8262981446326
-82.5,36.7605628967285,576.629984944504,150.371529126935
-80,36.7605628967285,382.493582503292,194.366060199916
-77.5,36.7605628967285,48.4783839311224,29.3659776393669
-122.5,38.0281677246094,108.029187543005,151.320533742293
-120,38.0281677246094,1561.83889713957,808.656481929347
-117.5,38.0281677246094,1729.24291845827,242.140447681972
-115,38.0281677246094,1725.56300837767,235.476612967172
-112.5,38.0281677246094,2290.86440684556,385.470407945709
-110,38.0281677246094,1745.77796525386,334.454042871794
